ERNv,Host,HighTaxon,LowTaxon,Virus,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,CreationDate,ModificationDate,ProvinceA,PathogenValue,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom,Group
11,Anthrenus museorum,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,1553085,Anthrenus,Dermestidae,Coleoptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
12,Dermestes lardarius,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,219542,Dermestes,Dermestidae,Coleoptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
13,Macrodorcus rectus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
14,Macrodorcus rubrofemoratus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
15,Allomyrina dichotomus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,6/19/2001,,,NA,NA,NA,NA,NA,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
1349,Costelytra zealandica,DNA virus,Iridoviridae,Costelytra zealandica IV Type 16,Larva,fat body,,New Zealand,,1/8/2096,2/12/2099,,,50579,Costelytra,Scarabaeidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
16,Heteronychus arator,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,295550,Heteronychus,Scarabaeidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
17,Odontria sp.,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,50575,Odontria,Scarabaeidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
18,Opogonia sp.,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
19,Tenebrio molitor,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7067,Tenebrio,Tenebrionidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
20,Bibio marci,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,189979,Bibio,Bibionidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
21,Calliphora vomitoria,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,27454,Calliphora,Calliphoridae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
22,Culicoides arboricola,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,2510297,Culicoides,Ceratopogonidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
23,Culiseta annulata,DNA virus,Iridoviridae,Culiseta annulata IV,,,,,,1/8/2096,2/12/2099,,,332058,Culiseta,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
24,Corethrella brakeleyi,DNA virus,Iridoviridae,Corethrella brakeleyi IV Type 13,,,,,,1/8/2096,2/12/2099,,,2203728,Corethrella,Chaoboridae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
25,Mochlonyx velutinus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,2516900,Mochlonyx,Chaoboridae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
26,Chironomus plumosus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,33397,Chironomus,Chironomidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
27,Chironomus plumosus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,33397,Chironomus,Chironomidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
28,Goeldichironomus holoprasinus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
29,Aedes aegypti,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7159,Aedes,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
30,Aedes albopictus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7160,Aedes,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
31,Aedes annulipes,DNA virus,Iridoviridae,Aedes annulipes IV Type 5,,,,,,1/8/2096,2/12/2099,,,866103,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
32,Aedes cantans,DNA virus,Parvoviridae,DNV,,,,,,1/8/2096,2/12/2099,,,120869,Ochlerotatus,Culicidae,Diptera,Insecta,10780,NA,Parvoviridae,Piccovirales,Quintoviricetes,Shotokuvirae,Virus
33,Aedes caspius,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,120870,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
34,Aedes cataphylla,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,120871,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
35,Aedes detritus,DNA virus,Iridoviridae,Aedes detritus IV Type 14,,,,,,1/8/2096,2/12/2099,,,120873,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
36,Aedes dorsalis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,663928,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
37,Aedes excrucians,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,329103,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
38,Aedes flavescens,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,662894,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
39,Aedes fulvus pallens,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,10/27/2099,,,1285602,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
40,Aedes nigromaculis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,767023,Ochlerotatus,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
41,Aedes sierrensis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,1205942,Ochlerotatus,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
42,Aedes sierrensis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,1205942,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
43,Aedes sollicitans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,310513,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
44,Aedes sticticus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,120878,Ochlerotatus,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
45,Aedes sticticus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,120878,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
1350,Aedes taeniorhynchus,DNA virus,Iridoviridae,Aedes taeniorhynchus IV (Blue-Green),Larva,,Field,USA,,1/8/2096,2/12/2099,,,329105,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
46,Aedes taeniorhynchus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,329105,Ochlerotatus,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
47,Aedes taeniorhynchus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,329105,Ochlerotatus,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
48,Aedes tormentor,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,1379453,Ochlerotatus,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
49,Aedes triseriatus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,7162,Ochlerotatus,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
50,Aedes triseriatus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7162,Ochlerotatus,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
51,Aedes vexans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7163,Aedes,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
52,Aedes vexans,DNA virus,Parvoviridae,DNV,,,,,,1/8/2096,2/12/2099,,,7163,Aedes,Culicidae,Diptera,Insecta,10780,NA,Parvoviridae,Piccovirales,Quintoviricetes,Shotokuvirae,Virus
53,Anopheles albimanus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7167,Anopheles,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
54,Anopheles bradleyi,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,49917,Anopheles,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
55,Anopheles crucians,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,869064,Anopheles,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
56,Anopheles crucians,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,869064,Anopheles,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
57,Anopheles freeborni,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7170,Anopheles,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
58,Anopheles quadrimaculatus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7166,Anopheles,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
59,Anopheles quadrimaculatus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7166,Anopheles,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
60,Anopheles stephensi,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,30069,Anopheles,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
61,Culex erraticus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,42427,Culex,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
62,Culex peccator,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,1085691,Culex,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
63,Culex peccator,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,1085691,Culex,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
64,Culex pipiens,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7175,Culex,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
65,Culex quinquefasciatus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,7176,Culex,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
66,Culex restuans,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,38742,Culex,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
67,Culex salinarius,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,38743,Culex,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
68,Culex salinarius,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,38743,Culex,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
69,Culex salinarius,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,38743,Culex,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
70,Culex tarsalis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7177,Culex,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
71,Culex territans,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,42431,Culex,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
72,Culex territans,DNA virus,Iridoviridae,Culex territans IV,,,,USSR,,1/8/2096,2/12/2099,,,42431,Culex,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
73,Aedes cantans,DNA virus,Iridoviridae,Aedes cantans IV Type 4,,,,USSR,,1/8/2096,2/12/2099,,,120869,Ochlerotatus,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
74,Culiseta inornata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,704160,Culiseta,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
75,Culiseta inornata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,704160,Culiseta,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
76,Culiseta melanura,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,329109,Culiseta,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
77,Culiseta melanura,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,329109,Culiseta,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
78,Culiseta morsitans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,329107,Culiseta,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
79,Orthopodomyia signifera,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,665339,Orthopodomyia,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
80,Psorophora confinnis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,869071,Psorophora,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
81,Psorophora confinnis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,869071,Psorophora,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
82,Psorophora confinnis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,869071,Psorophora,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
83,Psorophora ferox,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7183,Psorophora,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
84,Psorophora ferox,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,7183,Psorophora,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
85,Psorophora ferox,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7183,Psorophora,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
86,Psorophora horrida,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,2067438,Psorophora,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
87,Psorophora varipes,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,2488823,Psorophora,Culicidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
88,Psorophora varipes,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,2488823,Psorophora,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
89,Uranotaenia sapphirina,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,139056,Uranotaenia,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
90,Uranotaenia sapphirina,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,139056,Uranotaenia,Culicidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
91,Wyeomyia smithii,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,174621,Wyeomyia,Culicidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
92,Rhynchosciara angelae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
93,Rhynchosciara hollaenderi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,293278,Rhynchosciara,Sciaridae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
94,Rhynchosciara milleri,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,727901,Rhynchosciara,Sciaridae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
95,Prosimulium mixtum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,994300,Prosimulium,Simuliidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
96,Simulium ornatum,DNA virus,Iridoviridae,Simulium ornatum IV Type 7,,,,,,1/8/2096,2/12/2099,,,304233,Simulium,Simuliidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
97,Simulium tuberosum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,357430,Simulium,Simuliidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
98,Simulium venustum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,7194,Simulium,Simuliidae,Diptera,Insecta,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
99,Exorista sorbillans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,191189,Exorista,Tachinidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
100,Blepharipa zebina,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,190235,Blepharipa,Tachinidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
101,Tipula livida,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
102,Tipula oleracea,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,312236,Tipula,Tipulidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
103,Tipula paludosa,DNA virus,Iridoviridae,Tipula paludosa IV Type 1,,,,,,1/8/2096,2/12/2099,,,52757,Tipula,Tipulidae,Diptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
104,Tipula paludosa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,52757,Tipula,Tipulidae,Diptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
105,Lethocerus columbiae,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
106,Colladonus montanus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,1863043,Colladonus,Cicadellidae,Hemiptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
107,Nephotettix cincticeps,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,94400,Nephotettix,Cicadellidae,Hemiptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
108,Laodelphax striatellus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,195883,Laodelphax,Delphacidae,Hemiptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
109,Apis cerana,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,,7461,Apis,Apidae,Hymenoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
110,Apis mellifera,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7460,Apis,Apidae,Hymenoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
111,Arge pectoralis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,455474,Arge,Argidae,Hymenoptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
112,Diprion nipponica,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
113,Diprion pini,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,52634,Diprion,Diprionidae,Hymenoptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
114,Diprion similis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,362088,Diprion,Diprionidae,Hymenoptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
