"","RecordNo","DateEntered","Habitat","HostSpecies","HostOrder","HostFamily","Synonyms","Food","genYr","CommonName","ProvinceI","InsectStatus","ModificationDate","InCanada","ChangeSpeciesTo","CommonNameOther","Complete","AdditionalReferences"
"494",500,"1/6/1996","forest","Choristoneura occidentalis","Lepidoptera","Tortricidae","","Pacific silver fir (Abies amabilis ), white fir (Abies concolor ), alpine fir (Abies lasiocarpa ), grand fir (Abies grandis ), western larch (Larix occidentalis ), Engelmann spruce (Picea   engelmannii ), limber pine (Pinus flexilis ), Douglas fir (Pseudotsuga menziesii ), western hemlock  (Tsuga   heterophylla )","1","western spruce budworm","AB, BC","","3/6/2001","Y 10, N 30","Verified, Bosik 1997.","","",""
"495",501,"1/6/1996","forest","Choristoneura pinus","Lepidoptera","Tortricidae","Archips pinus","Jack pine (Pinus banksiana ), lodgepole pine (Pinus contorta ), red pine (Pinus resinosa ), eastern white pine (Pinus strobus ), Scots pine (Pinus sylvestris )","1","jack pine budworm","NS, QC, ON, MB, SK, AB","Pest","3/6/2001","Y 30, 34","Verified, Bosik 1997.","","y",""
"496",502,"1/6/1996","forest, urban, greenhouse","Choristoneura rosaceana","Lepidoptera","Tortricidae","","Scots pine (Pinus sylvestris ), eastern white pine (Pinus strobus ), red pine (Pinus resinosa ), Citrus , Rosaceae (i.e. Malus, Crataegus, Rubus, Rosa )","=1, >1","obliquebanded leafroller","NS, NB, QC, ON, MB, SK, AB, BC,","Pest","3/6/2001","Y 30","Verified, Bosik 1997.","","y",""
"497",503,"1/6/1996","Forest, orchard, urban, crop","Epiphyas postvittana","Lepidoptera","Tortricidae","","fungi",">1","light brown apple moth","not in Canada","Pest","3/9/2001","N 8","Verified, Bosik 1997.","","y",""
"498",504,"1/6/2096","Crop","Homona coffearia","Lepidoptera","Tortricidae","","Coffee, tea (Camellia sinensis )",">1","tea tortrix, coffee tortrix, tea flushworm","not in Canada","Pest","11/7/2000","N 8, N 35","","Y 35","y","77"
"499",505,"1/6/2096","crop","Homona magnanima","Lepidoptera","Tortricidae","","tea (Camellia sinensis), citrus, pear (Pyrus), Japanese persimmon  ",">1","","not in Canada","Pest","11/7/2000","N 33","","","y","77"
"500",506,"1/6/1996","Forest, crop","Merophyas divulsana","Lepidoptera","Tortricidae","","Monterey pine (Pinus radiata ), lucerne, Trifolium, lettuces, Mentha, snapdragon (Antirrhinum), Gypsophila, Bassia, Senecio, Taraxacum","","Alfalfa leaf tier, lucerne webworm","not in Canada","Pest","3/24/2001","N 8","","Y 8, 77","","77"
"501",507,"1/6/2096","","Pandemis lamprosana","Lepidoptera","Tortricidae","","Fagus, Platanus, Quercus, Hamamelis, Sasafras","","","QC, ON","","2/12/2099","Y 30","","","",""
"502",508,"1/6/1996","Orchard, crop","Platynota idaeusalis","Lepidoptera","Tortricidae","","Black haw, blackberry, golden rod (Solidago ), Solanum , clover (Trifolium ), Vaccinium , apple (Malus), cherry (Prunus ), bloodroot, raspberry (Rubus )","=1, >1","tufted apple bud moth","NS, QC, ON, MB","Pest","3/24/2001","Y 42, 46","Verified, Bosik 1997.","","",""
"503",509,"1/6/2096","Forest","Ptycholomoides aeriferana","Lepidoptera","Tortricidae","","Larch (Larix )","","","not in Canada","","11/13/2000","N 33","","","",""
"504",510,"1/6/2096","forest","Sparganothis pettitana","Lepidoptera","Tortricidae","","basswood, maple","","","NS, PE, NB, QC, ON, MB, SK","Wildlife","2/12/2099","Y 42","","","",""
"505",512,"1/6/2096","Forest","Tortrix viridana","Lepidoptera","Tortricidae","","Oak (Quercus  spp.)","1","green tortrix","not in Canada","Pest","10/3/2000","N 8","","Y 8","",""
"506",513,"1/6/1996","forest, orchard","Argyresthia conjugella","Lepidoptera","Argyresthiidae","","Fruits of mountain ash (Sorbus ) and apple (Malus)","","apple fruit moth","not in Canada","Pest","3/24/2001","N 8","Verified, Bosik 1997.","","",""
"507",514,"1/6/1996","Crop, garden, greenhouse","Plutella xylostella","Lepidoptera","Plutellidae","Plutella maculipennis","Brassicaceae (almost all), cauliflower and cabbage (Brassica oleracea), rape (Brassica napa), field mustard (Sinapsis arvensis), some ornamentals and greenhouse plants such as sweet alyssium, stocks, candytuft and wallflower.",">1 ","diamondback moth","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","4/5/2001","Y 35, Y 48","Verified, Bosik 1997.  Verified, HYPPZ sp db.","","y",""
"508",515,"1/6/2096","","Yponomeuta cagnatella","Lepidoptera","Yponomeutidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"509",516,"1/6/2096","","Yponomeuta evonymella","Lepidoptera","Yponomeutidae","","","","bird-cherry ermine moth","not in Canada","Pest","2/12/2099","N 8","","Y 8","",""
"510",517,"1/6/1996","orchard","Yponomeuta malinellus","Lepidoptera","Yponomeutidae","Hyponomeuta malinellus","apple (Malus), plum (Prunus), hawthorn (Crataegus), almond (Prunus amydalus).","1","common small ermine moth","not in Canada","Pest","4/5/2001","N 8","Verified, HYPPZ sp db.","Y 8","",""
"511",518,"1/6/2096","","Yponomeuta mayumivorellus","Lepidoptera","Yponomeutidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"512",519,"1/6/1996","","Yponomeuta padella","Lepidoptera","Yponomeutidae","","","","ermine moth","not in Canada","Pest","3/15/2001","N 8","Verified, Bosik 1997.","","",""
"513",520,"1/6/1996","orchard","Aglaope infausta","Lepidoptera","Zygaenidae","","almond (Prunus amygdalus)","1","","not in Canada","","4/5/2001","N 33"," Verified, HYPPZ species db.","","",""
"514",521,"1/6/2096","","Artona funeralis","Lepidoptera","Zygaenidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"515",522,"1/6/1996","orchard","Illiberis pruni","Lepidoptera","Zygaenidae","","fruit trees, apple (Malus), pears","","","not in Canada","Pest","3/24/2001","N 33","","","","77"
"516",523,"1/6/2096","","Pidorus glaucopis atratus","Lepidoptera","Zygaenidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"517",524,"1/6/2096","","Pryeria sinica","Lepidoptera","Zygaenidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"518",525,"1/6/1996","Fields","Chrysopa perla","Neuroptera","Chrysopidae","","Predator of: aphids (Aphididae), thrips, other soft-body arthropods","","","not in Canada","Beneficial","3/24/2001","N 51","","","",""
"519",526,"1/6/2096","","Hemerobius stigma","Neuroptera","Hemerobiidae","","","","","","","2/12/2099","","","","",""
"520",527,"1/6/2096","","Acrida turrita","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N","Verified, UConn Orthoptera db.","","",""
"521",528,"1/6/2096","","Atractomorpha lata","Orthoptera","Pyrgomorphidae","Atractomorpha bedeli","","","","not in Canada","","1/22/2000","N","Verified, UConn Orthoptera db.","","",""
"522",529,"1/6/1996","aquatic","Neophylax sp.","Trichoptera","Limnephilidae","","","","","unknown species","Wildlife","4/10/2001","xx","OK, TWC db.","","",""
"523",530,"1/6/2096","","Blaps mortisaga","Coleoptera","Tenebrionidae","","","","","not in Canada","","2/12/2099","N 43","","","",""
"524",531,"1/6/2096","","Helodes minutes","Coleoptera","Chrysomelidae","","","","","not in Canada","","7/6/2099","N 43","Update name?  according to ref 43, at least some Helodes are now Prasocuris, family Chrysomelidae","","",""
"525",532,"1/6/1996","under bark, in fungi","Diaperis boleti","Coleoptera","Tenebrionidae","","","","","not in Canada","","5/22/2001","N 43","Verified, TAFD 2001.","","",""
"526",533,"1/6/2096","","Ips typographus","Coleoptera","Scolytidae","","Sitka spruce","","","not in Canada","","6/29/2000","n, N 43","","","",""
"527",534,"1/6/2096","","Sciara sp.","Diptera","Sciaridae","","potted plants and mushrooms",">1","","unknown species","unknown species","8/29/2000","xx","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","",""
"528",535,"1/6/1996","human dwelling","Blattella germanica","Blattodea","Blattellidae","Ectobia germanica","polyphagus",">1","German cockroach","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","3/6/2001","Y","Verified Pittaway 1991.  Verified, Bosik 1997.",".","Y",""
"529",536,"1/6/1996","Aquatic","Cloeon rufulum","Ephemeroptera","Baetidae","","algae, detritus","1","","not in Canada","Wildlife","2/22/2001","N 62","","","",""
"530",537,"1/6/1996","Aquatic","Centroptilum luteolum","Ephemeroptera","Baetidae","","algae, detritus","1","","not in Canada","Wildlife","2/22/2001","N 62","","","",""
"531",538,"1/6/1996","Aquatic","Cloeon dipterum","Ephemeroptera","Baetidae","","algae, detritus","1","","not in Canada","Wildlife","2/22/2001","N 62","","","y",""
"532",539,"1/6/2096","Aquatic","Chaoborus crystallinus ","Diptera","Chaoboridae","","Predaceous; mosquito larvae",">1","","not in Canada","Beneficial","6/12/2000","N 65","Verified, Evenhuis1989. Verified, Pittaway 1991.","","",""
"533",540,"1/6/2096","Aquatic; detritus; moist ground","Chironomus sp.","Diptera","Chironomidae","","","","","unknown species","unknown species","11/13/2000","xx","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","",""
"534",541,"1/6/2096","Aquatic; detritus; moist ground","Camptochironomus tentans","Diptera","Chironomidae","Chironomus tentans, Comptochironomous tentans","Scavengers",">1","","QC, ON, MB, SK, AB, BC,","","11/13/2000","Y 65","Verified, Evenhuis1989.","","",""
"535",542,"1/6/1996","Aquatic, marsh, human dwelling","Culex tritaeniorhynchus","Diptera","Culicidae","Culex tritaeniorhynchus summorosus","Larva: Microscopic plants and animalsAdult female: blood feeder,  large mammals",">1","","not in Canada","Pest","3/24/2001","N","Verified, Evenhuis 1989.  Verified, Pittaway 1991.","","y","75, 82"
"536",543,"1/6/2096","Aquatic","Culex gelidus","Diptera","Culicidae","","Larva: microscopic plants and animalsAdult: humans, monkeys, dogs, rabbits, domestic ungulates, birds",">1","","not in Canada","Pest","6/16/2000","N","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","y","75"
"537",544,"1/6/2096","Aquatic, containers","Culiseta longiareolata","Diptera","Culicidae","","birds, large domestic mammals",">1","","not in Canada","","6/16/2000","N","Verified, Pittaway 1991.","","y","82"
"538",545,"1/6/2096","Aquatic","Anopheles dureni","Diptera","Culicidae","","",">1","","not in Canada","","10/26/2000","N","Not in Pittaway 1991.","","",""
"539",546,"1/6/2096","Aquatic","Anopheles pseudopunctipennis franciscanus","Diptera","Culicidae","Anopheles franciscanus","humans, livestock, birds",">1","","not in Canada","Pest","6/7/2000","N","Verified Pittaway 1991.","","y","82"
"540",547,"1/6/2096","","Bacillus rossius","Phasmatodea","Bacillidae","","","","","not in Canada","","7/15/2099","N","Yes, this is really an insect.","","",""
"541",548,"1/6/2096","Meadow, garden, urban, forest","Bibio varipes","Diptera","Bibionidae","","Decaying vegetation; plant roots, ",">1","","not in Canada","","12/28/2000","N 65","","","",""
"542",549,"1/6/2096","Pasture, rangeland","Geotrupes stercorarius","Coleoptera","Scarabaeidae","","Dung","<1","","NF, PE, NB, QC","Wildlife","11/14/2000","Y 43, Y 66","Verified, Pittaway 1991.","","y",""
"543",550,"1/6/2096","Dung","Geotrupes stercorosus","Coleoptera","Scarabaeidae","","Dung","","","not in Canada","","8/7/2000","N 43","Verified, Pittaway 1991.","","",""
"544",551,"1/6/2096","Dung","Geotrupes vernalis","Coleoptera","Scarabaeidae","","Dung","","","not in Canada","","8/7/2000","N 43","Verified, Pittaway 1991.","","",""
"545",552,"1/6/2096","Aquatic; detritus; moist ground","Prochironomus anomalus","Diptera","Chironomidae","","Scavengers",">1","","not in Canada","","11/13/2000","N 65","","","",""
"546",553,"1/6/1996","City, human dwelling","Blatta orientalis","Blattodea","Blattidae","Periplaneta orientalis","Starchy food, meat, cheese, soiled woolen clothes, old leather",">1","oriental cockroach","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC,","Pest","3/6/2001","Y","Verified Pittaway 1991.  Verified, Bosik 1997.",".","y",""
"547",554,"1/6/2096","aquatic","Simulium ochraceum","Diptera","Simuliidae","","humans",">1","","not in Canada","Pest","8/29/2000","N 65","Verified, Pittaway 1991.","","","75"
"548",555,"1/6/2096","Aquatic","Mochlonyx velutinus","Diptera","Chaoboridae","Mochlonyx culiciformis","",">1","","QC, ON, MB, SK, AB, BC, YK, NW","","8/29/2000","Y 65","Verified, Pittaway 1991.","","",""
"549",556,"1/6/2096","Aquatic","Chloroperla sp.","Plecoptera","Chloroperlidae","","","","","unknown species","unknown species","12/31/2099","xx","","","",""
"550",557,"1/6/2096","Orchard","Ascotis selenaria reciprocaria","Lepidoptera","Geometridae","","Citrus plants, coffee, many other plants",">1","giant looper","not in Canada","Pest","11/14/2000","N 35","","Y 35","y",""
"551",558,"1/6/2096","","Agrotis c-nigrum","Lepidoptera","Noctuidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"552",559,"1/6/2096","","Chloridea obsoleta","Lepidoptera","Noctuidae","","sorghum","","","not in Canada","Pest","2/12/2099","N 35","","","",""
"553",560,"1/6/2096","","Chloridea dipsacea","Lepidoptera","Noctuidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"554",561,"1/6/2096","Orchard","Pandemis corylana","Lepidoptera","Tortricidae","","Prunus  sp.",">1","","not in Canada","Pest","11/14/2000","N 8","","","",""
"555",562,"1/6/2096","aquatic","Simulium aureum","Diptera","Simuliidae","Simulium bracteatum, Eusimulium aureum","birds, grouse, Corvidae, Turdidae",">1","","recorded in Canada, but the province was not specified","Pest","8/30/2000","Y 65","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","","75"
"556",563,"1/6/2096","aquatic","Simulium bezzii","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"557",564,"1/6/1996","Larvae: aquatic","Baetis rhodani","Ephemeroptera","Baetidae","","algae, detritus","1","","not in Canada","Wildlife","2/22/2001","N 62","","","",""
"558",565,"1/6/2096","","Euborellia plebeja","Dermaptera","Labiduridae","Euborellia stalli","","","","not in Canada","","3/16/2000","n","Verified, Steinmann 1989.","","",""
"559",566,"1/6/2096","Aquatic","Culicoides sp.","Diptera","Ceratopogonidae","","","","","unknown species","unknown species","6/16/2000","xx","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","",""
"560",567,"1/6/2096","Aquatic, forest","Aedes canadensis","Diptera","Culicidae","","humans","=1, >1","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","6/7/2000","Y","Verified, Pittaway 1991.","","y","82, 84"
"561",568,"1/6/1996","Larvae: aquatic, tree holes, forest","Toxorhynchites rutilus septentrionalis","Diptera","Culicidae","","Larva:  predaceous, insects, other mosquito larvae;  Adults:  nectar, hydrangea",">1","","ON","Wildlife","4/5/2001","Y","Verified, Pittaway 1991.","","y","82"
"562",570,"1/6/2096","Aquatic","Ephemera danica","Ephemeroptera","Ephemeridae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"563",571,"1/6/2096","","Reticulitermes lucifugus  ","Isoptera","Rhinotermitidae","","Wood","","","not in Canada","","7/5/2099","N","These may be synonyms:  Reticulitermes lucifugus and Termes lucifugus.  SMB","","",""
"564",572,"1/6/1996","Soil","Reticulitermes flavipes","Isoptera","Rhinotermitidae","","Wood","","eastern subterranean termite","recorded in Canada, but the province was not specified","Pest","3/15/2001","Y","Verified, Bosik 1997.","","",""
"565",573,"1/6/2096","Soil","Coptotermes heimi","Isoptera","Rhinotermitidae","","Wood","","","not in Canada","","6/22/2000","N","Verified, Bose 1984.","","",""
"566",574,"1/6/2096","Aquatic","Epeorus torrentium","Ephemeroptera","Heptageniidae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"567",575,"1/6/2096","Aquatic","Rhithrogena semicolorata","Ephemeroptera","Heptageniidae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"568",576,"1/6/2096","Aquatic","Endochironomus nynchoides","Diptera","Chironomidae","","","","","not in Canada","","2/12/2099","N 65","","","",""
"569",577,"1/6/1996","Aquatic","Baetis pygmata","Ephemeroptera","Baetidae","","algae, detritus","1","","not in Canada","Wildlife","2/22/2001","N 62","Spelling?  Baetis pymaeus?","","",""
"570",579,"1/6/1996","","Omophlus rugisicollis ","Coleoptera","Tenebrionidae","Omophlus brevicollis","","","","not in Canada","","4/3/2001","N 43","Verified, TAFD 2001.","","",""
"571",580,"1/6/2096","aquatic","Simulium reptans columbaczense","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","2/12/2099","N 65","","","",""
"572",581,"1/6/1996","Aquatic","Chaoborus plumicornis","Diptera","Chaoboridae","Corethra plumicornis ","Predator, mosquito larvae",">1","","not in Canada","Beneficial","3/25/2001","N 65","Not in Pittaway.","","",""
"573",582,"1/6/2096","Aquatic","Chaoborus flavicans","Diptera","Chaoboridae","","","","","QC, ON, MB, SK, AB, BC, YK, NW","","6/12/2000","Y 65","Verified, Pittaway 1991.","","",""
"574",583,"1/6/1996","","Chaoborus astictopus","Diptera","Chaoboridae","","","","Clear Lake gnat","not in Canada","","3/6/2001","N 65","Verified, Pittaway 1991. Verified, Bosik 1997.","","",""
"575",584,"1/6/2096","Aquatic","Trichocladius sp.","Diptera","Chironomidae","","","","","unknown species","unknown species","2/12/2099","xx","","","",""
"576",585,"1/6/2096","Aquatic","Diamesa thienamanni","Diptera","Chironomidae","","","","","not in Canada","","2/12/2099","N 65","","","",""
"577",586,"1/6/2096","aquatic","Simulium maculatum","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","2/12/2099","N 65","","","",""
"578",587,"1/6/2096","aquatic","Simulium damnosum","Diptera","Simuliidae","","humans, chimpanzee","","","not in Canada","Pest","8/29/2000","N 65","Verified, Pittaway 1991.","","","75"
"579",588,"1/6/2096","Aquatic","Anopheles maculipennis","Diptera","Culicidae","","horse, humans",">1","","not in Canada","Pest","6/7/2000","N","Verified, Evenhuis 1989. Verified Pittaway 1991.","","y","75, 82"
"580",589,"1/6/2096","Aquatic","Tanytarsus sp.","Diptera","Chironomidae","","","","","unknown species","unknown species","8/29/2000","xx","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","",""
"581",590,"1/6/1996","aquatic","Limnephilus rhombicus","Trichoptera","Limnephilidae","Phryganea rhombica","","","","NF, NS, QC, SK","Wildlife","4/10/2001","Y 55","Verified, TWC db.","","",""
"582",591,"1/6/2096","Aquatic","Tanypus varius","Diptera","Chironomidae","","","","","not in Canada","","2/12/2099","N 65","","","",""
"583",592,"1/6/1996","aquatic","Plectrocnemia geniculata","Trichoptera","Polycentropodidae","","","","","not in Canada","Wildlife","4/10/2001","N 55, 57","Verified, TWC db.","","",""
"584",593,"1/6/1996","Aquatic","Anopheles sp.","Diptera","Culicidae","","","","","unknown species","unknown species","4/10/2001","xx","OK, Evenhuis 1989. OK, Pittaway 1991.","","",""
"585",594,"1/6/2096","Aquatic","Rhithrogena hybrida","Ephemeroptera","Heptageniidae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"586",595,"1/6/2096","","Tipula lateralis","Diptera","Tipulidae","","","","","not in Canada","","3/9/2000","N 65","T. lateralis Walker 1848 from NW coast of Australia was preoccupied name (Mieigen 1818) new name for Walkers lateralis is T. vanewrighti Oosterbroek 1986.  Which version of T.  lateralis do our records represent?  Probably Meigens; localities are in Europe.","","",""
"587",596,"1/6/2096","","Vanessa urticae","Lepidoptera","Nymphalidae","","","","","not in Canada","","2/12/2099","N 31, 32, 33","","","",""
"588",597,"1/6/2096","aquatic","Simulium reptans","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"589",598,"1/6/2096","Aquatic","Baetis pumilis","Ephemeroptera","Baetidae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"590",599,"1/6/1996","Crop, grassland, pasture","Solenopsis invicta","Hymenoptera","Formicidae","Solenopsis wagneri","Omnivorous; various insects (Diaphania  spp., Nezara )","","red imported fire ant","not in Canada","Pest","2/6/2001","N 67","Verified, Pittaway 1991. ESA  uses Solenopsis wagneri as red imported fire ant; however name change is being appealed before CZN, and until appeal ruled on (summer 2001) S. invicta is the name to use.","","",""
"591",600,"1/6/1996","crop, pasture, turfgrass","Crambus trisectus","Lepidoptera","Crambidae","Pediasia trisecta","Festuca rubra, Poa pratensis, corn/maize (Zea mays), tobacco (Nicotiana), grasses (Poaceae)",">1","leather-colored sod webworm","ON","Pest","1/25/2001","Y ECL","","","",""
"592",601,"1/6/1996","crop, pasture, grassland","Tehama bonifatella","Lepidoptera","Pyralidae","Crambus bonifatellus","Zea mays, tobacco, clover, Poa spp., Festuca spp.",">1","western lawn moth","not in Canada","Pest","3/15/2001","N ECL, N 33","Verified, Bosik 1997.","","",""
"593",602,"1/6/2096","Aquatic","Culex territans","Diptera","Culicidae","","Rana esculenta, rats","=1, >1","","NS, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","10/10/2000","Y","Verified, Evenhuis 1989.  Verified, Pittaway 1991. Culex territans Walker 1856 from 1958 to 1974 registered in Slovenia as Culex apicalis Adams, 1903.  Bioloski Vestnik 31(2)  1983:  93-102.  Both are valid names","","y","82"
"594",603,"1/6/1996","aquatic","Phryganea grandis ","Trichoptera","Phryganeidae","","","","","not in Canada","Wildlife","4/10/2001","N 55","Verified, TWC db.","","",""
"595",604,"1/6/1996","aquatic","Trichostegia minor","Trichoptera","Phryganeidae","","","","","not in Canada","Wildlife","4/10/2001","N 55","Verified, TWC db.","","",""
"596",605,"1/6/1996","Aquatic, salt marsh","Aedes squamiger","Diptera","Culicidae","","humans","","California saltmarsh mosquito","not in Canada","Pest","3/1/2001","N","Verified, Pittaway 1991. Verified, Bosik 1997.","","","82, 84"
"597",606,"1/6/2096","aquatic","Simulium monticola","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"598",607,"1/6/2096","aquatic","Simulium variegatum","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"599",608,"1/6/2096","aquatic","Simulium hirtipes","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","2/12/2099","N 65","","","",""
"600",609,"1/6/1996","aquatic","Rhyacophila fuscula","Trichoptera","Rhyacophilidae","","","","","NF, NS, NB, QC, ON","Wildlife","4/10/2001","Y 55, 56","Verified, TWC db.","","",""
"601",610,"1/6/2096","Aquatic, containers","Culiseta incidens","Diptera","Culicidae","Culex incidens","humans, large mammals",">1","","MB, SK, AB, BC, YK, NW","Pest","6/16/2000","Y","Verified, Pittaway 1991.","","y","82"
"602",611,"1/6/2096","Aquatic, marsh","Culex erythrothorax","Diptera","Culicidae","","humans, blackbirds","","","not in Canada","Pest","11/13/2000","N","Verified, Pittaway 1991.","","","82"
"603",612,"1/6/1996","Larvae: aquatic, swamp, marsh","Aedeomyia squamipennis","Diptera","Culicidae","","","","","not in Canada","","5/22/2001","N","Verified, Pittaway 1991.","","","82"
"604",613,"1/6/1996","Aquatic, forest","Aedes communis  ","Diptera","Culicidae","Aedes nemorosus, Aedes altiusculus, Aedes prolixus, Aedes tahoensis, Culex borealis, Culex communis, Culex lazarensis","Larva: algae.  Adult: nectar Adult female: blood feeder, mammals, birds","1","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","4/5/2001","Y","Verified, NIN.","","y","82"
"605",614,"1/6/1996","aquatic","Polycentropus flavomaculatus","Trichoptera","Polycentropodidae","","","","","not in Canada","Wildlife","4/10/2001","N 55","Verified, TWC db.","","",""
"606",615,"1/6/2096","Aquatic, forest","Culex erraticus","Diptera","Culicidae","","humans, fowl",">1","","not in Canada","Pest","11/7/2000","N","Verified, Pittaway 1991.","","y","82"
"607",616,"1/6/2096","Aquatic","Anopheles eiseni","Diptera","Culicidae","","","","","not in Canada","","12/29/2099","N","","","",""
"608",617,"1/6/2096","Aquatic","Aedes nemorosus","Diptera","Culicidae","","","","","not in Canada","","10/10/2000","N","This may be a synonym of Aedes communis, acc. to info in EDWIP ref. 741.","","",""
"609",618,"1/6/2096","Aquatic","Aedes melanimon","Diptera","Culicidae","","unknown","=1, >1","","SK, AB, BC","Wildlife","6/7/2000","Y","Verified, Pittaway 1991.","","y","84"
"610",619,"1/6/2096","Larvae: aquatic, tree holes, hollow butts of gum trees, forest","Aedes thibaulti","Diptera","Culicidae","","humans","<1, =1","","ON","Pest","11/14/2000","Y","Verified, Pittaway 1991.","","y","82, 84"
"611",620,"1/6/2096","Aquatic","Aedes abserratus","Diptera","Culicidae","Aedes centrotus, Aedes dysanor, Culex abserratus ","humans","1","","NF, NS, PE, QC, ON, MB","Pest","9/19/2000","Y","Verified, Pittaway 1991.","","y","84"
"612",621,"1/6/1996","Aquatic","Culex pipiens pipiens","Diptera","Culicidae","","Larva: Microscopic plants and animals Adult: nectar, blood feeder, human, bird, mammal",">1","","NS, NB, QC, ON, BC","Pest","3/24/2001","Y","Verified, Pittaway 1991.","","y",""
"613",622,"1/6/2096","Aquatic","Aedes cinereus","Diptera","Culicidae","Culex pallidohirta","nectar of Habenaria obtusata","=1, >1","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","2/24/2000","Y","Verified, Evenhuis 1989.","","y","82"
"614",623,"1/6/2096","Aquatic, forest","Aedes fitchii","Diptera","Culicidae","Aedes mimesis, Aedes palustris, Aedes pricei, Culex fitchii","humans, cattle","1","","NF, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","6/7/2000","Y","Verified, Pittaway 1991.","","y","82, 84"
"615",624,"1/6/2096","Aquatic, forest","Aedes grossbecki","Diptera","Culicidae","Culex sylvicola","humans","1","","ON","Pest","6/7/2000","Y","Verified, Pittaway 1991.","","y","82, 84"
"616",625,"1/6/2096","Aquatic, forest","Aedes hexodontus","Diptera","Culicidae","Aedes cyclocerculus, Aedes labradorensis, Aedes leuconotips, Aedes masamae, ","humans","","","NF, QC, ON, MB, AB, BC, YK, NW","Pest","6/7/2000","Y","Verified, Pittaway 1991.","","","82, 84"
"617",626,"1/6/2096","Aquatic, forest","Aedes increpitus","Diptera","Culicidae","Aedes hewitti, Aedes mutatus, Aedes vittata ","humans, cattle","=1, >1","","MB, SK, AB, BC","Pest","11/13/2000","Y","Verified, Pittaway 1991.","","y","84"
"618",627,"1/6/2096","Aquatic, bog, forest","Aedes pullatus","Diptera","Culicidae","","humans","1","","NF, QC, AB, BC, YK, NW","Pest","11/13/2000","Y","Verified, Pittaway 1991.","","y","82, 84"
"619",628,"1/6/2096","Aquatic, marsh, bog, forest","Aedes punctor","Diptera","Culicidae","","humans, cows, pigs, buzzards, hawks, nectar","1","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","11/13/2000","Y","Verified, Pittaway 1991.","","y","82"
"620",629,"1/6/2096","Aquatic, grassland, savannah","Aedes riparius","Diptera","Culicidae","","humans","1","","NS, QC, ON, MB, SK, AB, BC, YK, NW","Pest","11/7/2000","Y","Verified, Pittaway 1991.","","y","82, 84"
"621",630,"1/6/1996","Aquatic, forest","Aedes stimulans","Diptera","Culicidae","","blood feeder","1","","NS, PE, QC, ON, MB","Pest","3/24/2001","Y","Verified, Pittaway 1991.","","y","82"
"622",631,"1/6/1996","Aquatic, pasture, salt marsh, forest","Aedes taeniorhynchus","Diptera","Culicidae","","Larva: fungi",">1","","not in Canada","Pest","4/5/2001","N","Verified, Pittaway 1991.","","y","75, 82"
"623",632,"1/6/2096","Aquatic, forest","Aedes ventrovittis","Diptera","Culicidae","","humans","","","not in Canada","Pest","11/13/2000","N","","","","84"
