PathogenSpecies,Group,HighTaxon,LowTaxon,
Streptococcus faecaium,Bacteria,Non-spore-forming bacteria,Streptococcacceae,
Streptococcus faecalis,Bacteria,Non-spore-forming bacteria,Streptococcacceae,
Streptococcus  sp.,Bacteria,Non-spore-forming bacteria,Streptococcacceae,
Clostridium  sp.,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus cereus,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus hoplosternus,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus laterosporus,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus melolontha  ,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus popilliae,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus septicus insectorum  ,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus sphaericus,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus sp.,Bacteria,Spore-forming bacteria,Bacillaceae,
Acremonium psammosporum,Fungi,Deuteromycetes,unknown,
Acremonium  sp.,Fungi,Deuteromycetes,unknown,
Aspergillus clavatus,Fungi,Deuteromycetes,unknown,
Aspergillus tamarii,Fungi,Deuteromycetes,unknown,
Cephalosporium  sp.,Fungi,Deuteromycetes,unknown,
Cladosporium sp. ,Fungi,Deuteromycetes,unknown,
Coelomomyces iliensis,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces ponticulus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces raffaelei,Fungi,Chytridiomycetes,Blastocladiales,
Hirsutella cryptosclerotium,Fungi,Deuteromycetes,unknown,
Hirsutella versicolor,Fungi,Deuteromycetes,unknown,
Microhilum oncoperae,Fungi,Deuteromycetes,unknown,
Tilachlidiopsis nigra,Fungi,Deuteromycetes,unknown,
Tolypocladium lecanii,Fungi,Deuteromycetes,unknown,
Paecilomyces farinosus,Fungi,Deuteromycetes,unknown,
Metarhizium sp.,Fungi,Deuteromycetes,unknown,
Coelomomyces punctatus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces stegomyiae,Fungi,Chytridiomycetes,Blastocladiales,
Entomophaga maimaiga,Fungi,Zygomycetes,Entomophthorales,
Filobasidiella arachnophila,Fungi,Hymenomycetes,Tremellales,
Nosema bordati,Protozoa,Microspora,Microsporea (Microsporida),
Penicillium citrinum,Fungi,Deuteromycetes,unknown,
Trichothecium roseum,Fungi,Deuteromycetes,unknown,
Trichothecium  sp.,Fungi,Deuteromycetes,unknown,
Verticillium lecanii,Fungi,Deuteromycetes,unknown,
Paecilomyces fumosoroseus,Fungi,Deuteromycetes,unknown,
Beauveria sulfurescens,Fungi,Deuteromycetes,unknown,
Paecilomyces lilacinus,Fungi,Deuteromycetes,unknown,
Beauveria densa,Fungi,Deuteromycetes,unknown,
Furia ithacensis,Fungi,Zygomycetes,Entomophthorales,
Zoophthora radicans ,Fungi,Zygomycetes,Entomophthorales,
Neozygites fresenii,Fungi,Zygomycetes,Entomophthorales,
Ascosphaera aggregata,Fungi,Plectomycetes,Ascosphaerales,
Ascosphaera apis,Fungi,Plectomycetes,Ascosphaerales,
Ascosphaera atra,Fungi,Plectomycetes,Ascosphaerales,
Ascosphaera proliperda,Fungi,Plectomycetes,Ascosphaerales,
Cordyceps heteropoda,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps koreana,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps nipponica,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps nutans,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps owariensis,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps paradoxa,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps sobolifera,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps  sp.,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps tricentri,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps unilateralis,Fungi,Pyrenomycetes,Hypocreales,
Nectria flammea ,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps brongniartii,Fungi,Pyrenomycetes,Hypocreales,
Cordyceps militaris,Fungi,Pyrenomycetes,Hypocreales,
Coelomycidium  sp.,Fungi,Chytridiomycetes,Chytridiales,
Acremonium berkeleyanum,Fungi,Deuteromycetes,unknown,
Beauveria sp.,Fungi,Deuteromycetes,unknown,
Culicinomyces clavisporus,Fungi,Deuteromycetes,unknown,
Aschersonia marginata,Fungi,Deuteromycetes,unknown,
Aspergillus ochraceus,Fungi,Deuteromycetes,unknown,
Aspergillus oryzae,Fungi,Deuteromycetes,unknown,
Torrubiella luteorostrata,Fungi,Pyrenomycetes,Hypocreales,
Torrubiella tenuis,Fungi,Pyrenomycetes,Hypocreales,
Torrubiella tomentosa,Fungi,Pyrenomycetes,Hypocreales,
Myriangium duriaei,Fungi,Loculoascomycetes,Myriangiales,
Myriangium montagnei,Fungi,Loculoascomycetes,Myriangiales,
Myriangium thwaitesii,Fungi,Loculoascomycetes,Myriangiales,
Nectria aurantiicola,Fungi,Pyrenomycetes,Hypocreales,
Nectria barbata,Fungi,Pyrenomycetes,Hypocreales,
Nectria diploa,Fungi,Pyrenomycetes,Hypocreales,
Podonectria aurantii,Fungi,Loculoascomycetes,Pleosporales,
Podonectria coccicola,Fungi,Loculoascomycetes,Pleosporales,
Podonectria coccorum,Fungi,Loculoascomycetes,Pleosporales,
Podonectria echinata,Fungi,Loculoascomycetes,Pleosporales,
Podonectria novaezeylandica,Fungi,Loculoascomycetes,Pleosporales,
Podonectria tenuispora,Fungi,Loculoascomycetes,Pleosporales,
Tetracrium aurantii,Fungi,Deuteromycetes,unknown,
Tetracrium coccicolum,Fungi,Deuteromycetes,unknown,
Tetracrium echinatum,Fungi,Deuteromycetes,unknown,
Uredinella coccidophaga,Fungi,Urediniomycetes,Septobasidiales,
Uredinella spinulosa,Fungi,Urediniomycetes,Septobasidiales,
Eriothyrium coccicolum,Fungi,Deuteromycetes,unknown,
Muricularia calva,Fungi,Deuteromycetes,unknown,
Pyrenochaeta sparsibarba,Fungi,Deuteromycetes,unknown,
Acremonium furcatum,Fungi,Deuteromycetes,unknown,
Acremonium roseum,Fungi,Deuteromycetes,unknown,
Acrodontum crateriforme,Fungi,Deuteromycetes,unknown,
Akanthomyces gracilis,Fungi,Deuteromycetes,unknown,
Aphanocladium album,Fungi,Deuteromycetes,unknown,
Aphanocladium gamsianum,Fungi,Deuteromycetes,unknown,
Beniowskia  sp. ,Fungi,Deuteromycetes,unknown,
Calcarisporium ovalisporum,Fungi,Deuteromycetes,unknown,
Candida  sp.,Fungi,Deuteromycetes,unknown,
Cladosporium cladosporioides,Fungi,Deuteromycetes,unknown,
Culicinomyces bisporalis,Fungi,Deuteromycetes,unknown,
Engyodontium aranearum,Fungi,Deuteromycetes,unknown,
Fusarium avenaceum,Fungi,Deuteromycetes,unknown,
Fusarium coccophilum,Fungi,Deuteromycetes,unknown,
Fusarium juruanum,Fungi,Deuteromycetes,unknown,
Fusarium larvarum,Fungi,Deuteromycetes,unknown,
Fusarium lateritium,Fungi,Deuteromycetes,unknown,
Fusarium merismoides,Fungi,Deuteromycetes,unknown,
Fusarium moniliforme ,Fungi,Deuteromycetes,unknown,
Fusarium moniliforme  var. intermedium,Fungi,Deuteromycetes,unknown,
Fusarium nygamai,Fungi,Deuteromycetes,unknown,
Fusarium oxysporum,Fungi,Deuteromycetes,unknown,
Fusarium paeoniae,Fungi,Deuteromycetes,unknown,
Fusarium polyphialidicum,Fungi,Deuteromycetes,unknown,
Fusarium sambucinum,Fungi,Deuteromycetes,unknown,
Fusarium semitectum,Fungi,Deuteromycetes,unknown,
Fusarium solani,Fungi,Deuteromycetes,unknown,
Fusarium  sp.,Fungi,Deuteromycetes,unknown,
Fusarium subglutinans,Fungi,Deuteromycetes,unknown,
Gibellula clavulifera,Fungi,Deuteromycetes,unknown,
Haplographium coccorum,Fungi,Deuteromycetes,unknown,
Hirsutella  besseyi ,Fungi,Deuteromycetes,unknown,
Hirsutella citriformis,Fungi,Deuteromycetes,unknown,
Hirsutella entomophila,Fungi,Deuteromycetes,unknown,
Hirsutella gigantea,Fungi,Deuteromycetes,unknown,
Hirsutella graptopsaltriae,Fungi,Deuteromycetes,unknown,
Hirsutella guyana,Fungi,Deuteromycetes,unknown,
Hirsutella longicolla,Fungi,Deuteromycetes,unknown,
Hirsutella repens,Fungi,Deuteromycetes,unknown,
Hirsutella satumaensis,Fungi,Deuteromycetes,unknown,
Hirsutella  sp. ,Fungi,Deuteromycetes,unknown,
Hirsutella strigosa,Fungi,Deuteromycetes,unknown,
Hirsutella stylophora,Fungi,Deuteromycetes,unknown,
Hirsutella thompsonii,Fungi,Deuteromycetes,unknown,
Hirsutella verticillioides,Fungi,Deuteromycetes,unknown,
Humicola  sp.,Fungi,Deuteromycetes,unknown,
Metarhizium album,Fungi,Deuteromycetes,unknown,
Metarhizium anisopliae,Fungi,Deuteromycetes,unknown,
Metarhizium anisopliae var. majus,Fungi,Deuteromycetes,unknown,
Metarhizium cylindrosporae ,Fungi,Deuteromycetes,unknown,
Metarhizium flavoviride ,Fungi,Deuteromycetes,unknown,
Metarhizium flavoviride var. minus,Fungi,Deuteromycetes,unknown,
Nomuraea rileyi,Fungi,Deuteromycetes,unknown,
Nomuraea  sp.,Fungi,Deuteromycetes,unknown,
Penicillium  sp.,Fungi,Deuteromycetes,unknown,
Penicillium thomii,Fungi,Deuteromycetes,unknown,
Peziotrichum lachnella,Fungi,Deuteromycetes,unknown,
Peziotrichum saccardinum,Fungi,Deuteromycetes,unknown,
Phialophora malorum,Fungi,Deuteromycetes,unknown,
Phoma cava,Fungi,Deuteromycetes,unknown,
Polycephalomyces formosus,Fungi,Deuteromycetes,unknown,
Scopulariopsis  sp.,Fungi,Deuteromycetes,unknown,
Sorosporella uvella,Fungi,Deuteromycetes,unknown,
Sporothrix insectorum,Fungi,Deuteromycetes,unknown,
Sporothrix  sp.,Fungi,Deuteromycetes,unknown,
Stilbum coccorum,Fungi,Deuteromycetes,unknown,
Tilletiopsis  sp.,Fungi,Deuteromycetes,unknown,
Tolypocladium cylindrosporum,Fungi,Deuteromycetes,unknown,
Tolypocladium extinguens,Fungi,Deuteromycetes,unknown,
Tolypocladium niveum,Fungi,Deuteromycetes,unknown,
Verticillium chlamydosporium,Fungi,Deuteromycetes,unknown,
Verticillium coccosporum,Fungi,Deuteromycetes,unknown,
Verticillium fungicola,Fungi,Deuteromycetes,unknown,
Verticillium fusisporum,Fungi,Deuteromycetes,unknown,
Verticillium heterocladum,Fungi,Deuteromycetes,unknown,
Verticillium indicum,Fungi,Deuteromycetes,unknown,
Verticillium insectorum,Fungi,Deuteromycetes,unknown,
Verticillium psalliotiae,Fungi,Deuteromycetes,unknown,
Verticillium  sp.,Fungi,Deuteromycetes,unknown,
Volutella epicoccum,Fungi,Deuteromycetes,unknown,
Paecilomyces amoenoroseus,Fungi,Deuteromycetes,unknown,
Paecilomyces andoi,Fungi,Deuteromycetes,unknown,
Paecilomyces canadensis,Fungi,Deuteromycetes,unknown,
Paecilomyces flavovirescens,Fungi,Deuteromycetes,unknown,
Paecilomyces heliothis,Fungi,Deuteromycetes,unknown,
Paecilomyces javanicus,Fungi,Deuteromycetes,unknown,
Paecilomyces reniformis,Fungi,Deuteromycetes,unknown,
Paecilomyces  sp.,Fungi,Deuteromycetes,unknown,
Paecilomyces tenuipes,Fungi,Deuteromycetes,unknown,
Paecilomyces terricola ,Fungi,Deuteromycetes,unknown,
Paecilomyces viridis,Fungi,Deuteromycetes,unknown,
Beauveria amorpha,Fungi,Deuteromycetes,unknown,
Beauveria brongniartii,Fungi,Deuteromycetes,unknown,
Metarhizium anisopliae var. anisopliae,Fungi,Deuteromycetes,unknown,
Aspergillus flavus,Fungi,Deuteromycetes,unknown,
Aspergillus  sp.,Fungi,Deuteromycetes,unknown,
Aschersonia aleyrodis,Fungi,Deuteromycetes,unknown,
Aschersonia goldiana,Fungi,Deuteromycetes,unknown,
Aschersonia insperata,Fungi,Deuteromycetes,unknown,"From Humber (ref 2026) cultures produce both the Aschersonia state and a synanamorph, Hirsutella insperata."
Lagenidium giganteum,Fungi,Oomycetes,Lagenidiales,
Crypticola clavulifera,Fungi,Oomycetes,Lagenidiales,
Leptolegnia chapmanii,Fungi,Oomycetes,Saprolegniales,
Coelomycidium simulii,Fungi,Chytridiomycetes,Chytridiales,
Myiophagus ucrainicus,Fungi,Chytridiomycetes,Chytridiales,
Basidiobolus ranarum,Fungi,Zygomycetes,Entomophthorales,
Batkoa apiculata,Fungi,Zygomycetes,Entomophthorales,
Batkoa gigantea,Fungi,Zygomycetes,Entomophthorales,
Batkoa major,Fungi,Zygomycetes,Entomophthorales,
Furia pieris,Fungi,Zygomycetes,Entomophthorales,Is Furia elevated to genus status?  
Pandora bullata,Fungi,Zygomycetes,Entomophthorales,
Pandora blunckii,Fungi,Zygomycetes,Entomophthorales,
Pandora delphacis,Fungi,Zygomycetes,Entomophthorales,
Pandora neoaphidis,Fungi,Zygomycetes,Entomophthorales,
Zoophthora canadensis,Fungi,Zygomycetes,Entomophthorales,
Zoophthora anglica,Fungi,Zygomycetes,Entomophthorales,
Zoophthora phytonomi,Fungi,Zygomycetes,Entomophthorales,
Zoophthora occidentalis,Fungi,Zygomycetes,Entomophthorales,
Zoophthora  sp.,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus coronatus,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus firmipilleus,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus lachnodes,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus macrosporus,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus megalotocus,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus coronatus,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus obscurus,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus osmodes,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus pseudapiculatus,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus  sp.,Fungi,Zygomycetes,Entomophthorales,
Conidiobolus thromboides ,Fungi,Zygomycetes,Entomophthorales,
Entomophaga asiatica,Fungi,Zygomycetes,Entomophthorales,
Entomophaga aulicae,Fungi,Zygomycetes,Entomophthorales,Which is current?  Entomophaga or Entomophthora
Entomophaga australiensis,Fungi,Zygomycetes,Entomophthorales,
Entomophaga calopteni,Fungi,Zygomycetes,Entomophthorales,
Entomophaga grylli,Fungi,Zygomycetes,Entomophthorales,Are Entomophaga and Entomophthora grylli synonyms?  
Entomophaga kansana,Fungi,Zygomycetes,Entomophthorales,
Entomophaga macleodii,Fungi,Zygomycetes,Entomophthorales,
Entomophaga praxibuli,Fungi,Zygomycetes,Entomophthorales,
Entomophaga  sp.,Fungi,Zygomycetes,Entomophthorales,
Entomophaga tabanivora,Fungi,Zygomycetes,Entomophthorales,
Entomophthora chromaphidis ,Fungi,Zygomycetes,Entomophthorales,
Entomophthora culicis,Fungi,Zygomycetes,Entomophthorales,
Entomophthora muscae,Fungi,Zygomycetes,Entomophthorales,
Entomophthora schizophorae,Fungi,Zygomycetes,Entomophthorales,
Entomophthora  sp.,Fungi,Zygomycetes,Entomophthorales,
Erynia aquatica,Fungi,Zygomycetes,Entomophthorales,
Erynia conica,Fungi,Zygomycetes,Entomophthorales,
Erynia curvispora,Fungi,Zygomycetes,Entomophthorales,
Erynia dipterigena,Fungi,Zygomycetes,Entomophthorales,
Erynia neopyralidarum,Fungi,Zygomycetes,Entomophthorales,
Erynia  sp.,Fungi,Zygomycetes,Entomophthorales,
Eryniopsis caroliniana,Fungi,Zygomycetes,Entomophthorales,
Furia virescens,Fungi,Zygomycetes,Entomophthorales,Formerly Erynia virescens?
Massospora cicadina,Fungi,Zygomycetes,Entomophthorales,
Pandora kondoiensis,Fungi,Zygomycetes,Entomophthorales,
Pandora nouryi,Fungi,Zygomycetes,Entomophthorales,
Strongwellsea castrans,Fungi,Zygomycetes,Entomophthorales,
Tarichium cytoneurae,Fungi,Zygomycetes,Entomophthorales,
Zoophthora  elateridiphaga,Fungi,Zygomycetes,Entomophthorales,
Zoophthora aphidis,Fungi,Zygomycetes,Entomophthorales,
Zoophthora phalloides,Fungi,Zygomycetes,Entomophthorales,
Neozygites floridana,Fungi,Zygomycetes,Entomophthorales,
Neozygites parvispora,Fungi,Zygomycetes,Entomophthorales,Entomophthora parvispora may be a synonym?   
Neozygites sp.,Fungi,Zygomycetes,Entomophthorales,
Neozygites tetranychi,Fungi,Zygomycetes,Entomophthorales,
Smittium morbosum,Fungi,Zygomycetes,Harpellales,
Mortierella  histoplasmatoides,Fungi,Zygomycetes,Mucorales,
Mortierella claussenii,Fungi,Zygomycetes,Mucorales,
Mortierella hyalina,Fungi,Zygomycetes,Mucorales,
Sporodiniella umbellata,Fungi,Zygomycetes,Mucorales,
Mucor  sp.,Fungi,Zygomycetes,Mucorales,
Torrubiella homopterorum,Fungi,Pyrenomycetes,Hypocreales,
Torrubiella ratticaudata,Fungi,Pyrenomycetes,Hypocreales,
Amblyospora albifasciati,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora criniferis,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora dolosi,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora ferocis,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora inataliae,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora indubitantis,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora tramazayguesi,Protozoa,Microspora,Microsporea (Microsporida),
Campanulospora denticulata,Protozoa,Microspora,Microsporea (Microsporida),
Flabelliforma montana ,Protozoa,Microspora,Microsporea (Microsporida),
Geusia gamocysti ,Protozoa,Microspora,Microsporea (Microsporida),
Semenovaia chironomi ,Protozoa,Microspora,Microsporea (Microsporida),
Cristulospora sherbani,Protozoa,Microspora,Microsporea (Microsporida),
Coccospora micrococcus,Protozoa,Microspora,Microsporea (Microsporida),
Cougourdella polycentropi,Protozoa,Microspora,Microsporea (Microsporida),
Cougourdella rhyacophilae,Protozoa,Microspora,Microsporea (Microsporida),
Golbergia spinosa ,Protozoa,Microspora,Microsporea (Microsporida),
Episeptum inversum,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya aeschnae,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya chironomi,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya legeri,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya linearis,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya secalisae,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya sp.,Protozoa,Microspora,Microsporea (Microsporida),
Hessea squamosa,Protozoa,Microspora,Microsporea (Minisporida),
Cystosporogenes operophterae ,Protozoa,Microspora,Microsporea (Microsporida),
Cystosporogenes pristiphorae ,Protozoa,Microspora,Microsporea (Microsporida),
Stempellia magna,Protozoa,Microspora,Microsporea (Microsporida),
Stempellia mutabilis,Protozoa,Microspora,Microsporea (Microsporida),
Tardivesicula duplicata ,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora bohemica,Protozoa,Microspora,Microsporea (Microsporida),
Telomyxa glugeiformis,Protozoa,Microspora,Microsporea (Microsporida),
Telomyxa muscarum,Protozoa,Microspora,Microsporea (Microsporida),
Telomyxa trichopterae,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium longifilum,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium mesnili,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium calopterygis,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium chapmani,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium chironomi,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium debaisieuxi,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium ephemerae,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium eriogastri,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium francottei,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium hyphantriae,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium legeri,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium leptophlebiae,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium micrococcus,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium mutabilis,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium portugal,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium orthocladii,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium polysporum,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium romania,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium rubstovi,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium tabani,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium termitis,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium thailand,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium thomsoni,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium tuzetae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema  sp. ,Protozoa,Microspora,Microsporea (Microsporida),
Buxtehudea scaniae ,Protozoa,Microspora,Microsporea (Minisporida),
Chytridiopsis aquaticus,Protozoa,Microspora,Microsporea (Minisporida),
Chytridiopsis clerci,Protozoa,Microspora,Microsporea (Minisporida),
Chytridiopsis socius,Protozoa,Microspora,Microsporea (Minisporida),
Nolleria pulicis ,Protozoa,Microspora,Microsporea (Minisporida),
Caudospora alaskensis,Protozoa,Microspora,Microsporea (Microsporida),
Caudospora nasiae,Protozoa,Microspora,Microsporea (Microsporida),
Caudospora pennsylvanica,Protozoa,Microspora,Microsporea (Microsporida),
Caudospora polymorpha,Protozoa,Microspora,Microsporea (Microsporida),
Caudospora simulii,Protozoa,Microspora,Microsporea (Microsporida),
Caudospora sp.,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea carlochagasi,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea chironomi,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea corethrae,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea ephestiae,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea intestinalis,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea monospora,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea muscaedomesticae,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea simulii,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea sp.,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea viridanae,Protozoa,Microspora,Microsporea (Microsporida),
Ringueletium pillosa ,Protozoa,Microspora,Microsporea (Microsporida),
Weiseria  laurenti,Protozoa,Microspora,Microsporea (Microsporida),
Weiseria sommermanae,Protozoa,Microspora,Microsporea (Microsporida),
Weiseria sp.,Protozoa,Microspora,Microsporea (Microsporida),
Culicosporella lunata ,Protozoa,Microspora,Microsporea (Microsporida),
Culicospora magna,Protozoa,Microspora,Microsporea (Microsporida),
Edhazardia aedis ,Protozoa,Microspora,Microsporea (Microsporida),
Hazardia milleri ,Protozoa,Microspora,Microsporea (Microsporida),
Hirsutusporos austrosimulii ,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  Hirsutosporos or Hirsutusporos?
Issia trichopterae ,Protozoa,Microspora,Microsporea (Microsporida),
Nosema acridophagus,Protozoa,Microspora,Microsporea (Microsporida),
Nosema aedis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema aeschnae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema albimanus,Protozoa,Microspora,Microsporea (Microsporida),
Nosema algerae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema apis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema aporivora,Protozoa,Microspora,Microsporea (Microsporida),
Nosema astyrae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema auriflammae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema baetis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema bialoviesianae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema bibionis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema binucleatum,Protozoa,Microspora,Microsporea (Microsporida),
Nosema bombi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema bombycis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cacoeciae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cactoblastis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cactorum,Protozoa,Microspora,Microsporea (Microsporida),
Nosema campoletidis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cannae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cardiochilis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema carpocapsae ,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cerasivoranae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cheisini,Protozoa,Microspora,Microsporea (Microsporida),
Nosema chironomi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema coccinellae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema coliadis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cossi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema costelytrae,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  costelytrae or costelythrae?
Nosema crataeganae,Protozoa,Microspora,Microsporea (Microsporida),
