RefCode,ERNntr,Host,Pathogen,Citation
29,33,Spilosoma virginica,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,34,Spilosoma virginica,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,35,Dasychira pinicola,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,36,Orgyia leucostigma,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,37,Orgyia pseudotsugata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,38,Zanclognatha pedipilalis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,39,Autographa precationis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,40,Autographa flagellum,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,41,Anagrapha falcifera,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,42,Acronicta impleta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,43,Oligia illocata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,44,Phlogophora iris,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,45,Hyppa xylinoides,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,46,Platyperigea multifera,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,47,Eupsilia tristigmata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,48,Polia latex,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,49,Melanchra pulverulenta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,50,Lacanobia radix,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,51,Lacanobia grandis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,52,Mythimna unipuncta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,53,Leucania multilinea,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,54,Orthosia revicta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,55,Crocigrapha normani,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,56,Homorthodes furfurata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,57,Agrotis ipsilon,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,58,Peridroma saucia,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,59,Diarsia rubifera,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,60,Diarsia jucunda,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,61,Xestia adela,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,62,Xestia smithii,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,63,Metalepsis salicarum,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,64,Anaplectoides pressus,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,65,Eueretagrotis attenta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,66,Cryptocala acadiensis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,67,Pyrrhia exprimens,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,68,Cyrtophleba coquilletti,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
29,69,Megachile rotundata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066."
131,70,Boloria uphrosyne,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,71,Clossiana selene,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,72,Pararge aegeria,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,73,Polyommatus icarus,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,74,Pieris brassicae,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,75,Malacosoma neustria,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,76,Philudoria potatoria,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,77,Saturnia pavonia,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,78,Cyclophora linearia,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,79,Idaea aversata,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,80,Orthonama obstipata,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,81,Dysstroma truncata,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,82,Opisthograptis luteolata,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,83,Menophra abruptaria,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,84,Acherontia atropos,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,85,Mimas tiliae,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,86,Smerinthus ocellata,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,87,Hyles euphorbiae,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,88,Deilephila elpenor,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,89,Deilephila elpenor,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,90,Phalera bucephala,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,91,Pheosia tremula,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,92,Drymonia ruficornis,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,93,Orgyia antiqua,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,94,Calliteara pudibunda,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,95,Spilosoma lubricipeda,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,96,Tyria jacobaeae,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,97,Anaplectoides prasina,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
