"","presence","Host","Virus","HighTaxon","LowTaxon","LogMaxDose","HostStageTested","Group","Order","Family"
"181",1,"Spilosoma subcarnea","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"182",1,"Spilosoma lutea","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"183",1,"Spilosoma punctaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"184",1,"Spilosoma punctaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"185",1,"Bombyx mori","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"186",1,"Bombyx mori","Bombyx mori NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"187",1,"Bombyx mori","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"188",1,"Carposina niponensis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"189",1,"Coleophora laricella","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"190",1,"Danaus plexippus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"191",1,"Phryganidia californica","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"192",1,"Falcaria lacertinaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"193",1,"Ethmia assamensis","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"194",1,"Brachmia macroscopa","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"195",1,"Pectinophora gossypiella","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"196",1,"Pectinophora gossypiella","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"197",1,"Phthorimaea operculella","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"198",1,"Abraxas grossulariata","CPV","DNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"199",1,"Abraxas grossulariata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"200",1,"Alsophila pometaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"201",1,"Alsophila pometaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"202",1,"Biston betularia cognataria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"203",1,"Aplocera plagiata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"204",1,"Aplocera plagiata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"205",1,"Thallophaga hyperborea","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"206",1,"Apocheima pilosaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"207",1,"Biston betularia","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"208",1,"Biston betularia","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"209",1,"Biston hirtaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"210",1,"Biston hispidaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"211",1,"Biston robustum","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"212",1,"Biston strataria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"213",1,"Boarmia bistortata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"214",1,"Bupalus piniarius","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"215",1,"Bupalus piniarius","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"216",1,"Calospilos miranda","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"217",1,"Carecomotis repulsaria","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"218",1,"Caripeta divisata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"219",1,"Crocallis elinguaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"220",1,"Cystidia stratonice stratonice","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"221",1,"Ennomos quercaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"222",1,"Ennomos quercinaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"223",1,"Ennomos subsignaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"224",1,"Enypia venata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"225",1,"Erannis defoliaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"226",1,"Erannis tiliaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"227",1,"Erannis tiliaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"228",1,"Erannis tiliaria vancouverensis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"229",1,"Eupithecia longipalpata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"230",1,"Gonodontis arida","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"231",1,"Heterolocha aristonaria niphonica","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"232",1,"Lambdina fiscellaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"233",1,"Lambdina fiscellaria lugubrosa","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"234",1,"Lambdina fiscellaria somniaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"235",1,"Nepytia freemani","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"236",1,"Nepytia phantasmaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"237",1,"Operophtera bruceata","Operophtera bruceata NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"238",1,"Operophtera bruceata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"239",1,"Operophtera brumata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"240",1,"Operophtera brumata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"241",1,"Operophtera fagata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"242",1,"Opisthograptis luteolata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"243",1,"Epirrita autumnata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"244",1,"Epirrita autumnata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"245",1,"Ourapteryx sambucaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"246",1,"Paleacrita vernata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"247",1,"Paleacrita vernata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"248",1,"Peribatodes simplicaria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"249",1,"Pero behrensarius","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"250",1,"Phigalia titea","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"251",1,"Protoboarmia porcelaria indicataria","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"252",1,"Ptychopoda seriata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"253",1,"Scopula sp.","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"254",1,"Selenia lunaria","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"255",1,"Selidosema suavis","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"256",1,"Semiothisa liturata","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"257",1,"Synaxis pallulata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"258",1,"Parectopa geometropis","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"259",1,"Hepialus lupulinus","CPV","RNA virus","Reoviridae",NA,NA,"Viruses",NA,NA
"260",1,"Wiseana cervinata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"261",1,"Wiseana signata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"262",1,"Wiseana umbraculata","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"263",1,"Epargyreus clarus","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
"264",1,"Parnara guttata","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"265",1,"Potanthus flavum","IV","DNA virus","Iridoviridae",NA,NA,"Viruses",NA,NA
"266",1,"Thymelicus lineola","NPV","DNA virus","Baculoviridae",NA,NA,"Viruses",NA,NA
