ERNntr,PathogenSpecies,CreationDate,ModificationDate,LogMaxDose,HostStageTested,HostSpecies,Group,HighTaxon,LowTaxon,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
17,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,4 pibs/larva,Larva,Artogeia rapae,Viruses,DNA virus,Baculoviridae,64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
18,Agrotis segetum NPV  (AsMNPV),1/25/2096,2/12/2099,4 pibs/larva,Larva,Artogeia rapae,Viruses,DNA virus,Baculoviridae,64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
19,Plusia gamma NPV (PgSNPV),1/25/2096,12/13/2000,4 pibs/larva,Larva,Artogeia rapae,Viruses,DNA virus,Baculoviridae,64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
20,Agrotis segetum GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Artogeia rapae,Viruses,DNA virus,Baculoviridae,64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
21,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Choristoneura rosaceana,Viruses,DNA virus,Baculoviridae,27543,Choristoneura,Tortricidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
22,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Choristoneura fumiferana,Viruses,DNA virus,Baculoviridae,7141,Choristoneura,Tortricidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
23,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Artogeia napi,Viruses,DNA virus,Baculoviridae,78633,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
24,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Phyciodes tharos,Viruses,DNA virus,Baculoviridae,82579,Phyciodes,Nymphalidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
25,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Ostrinia nubilalis,Viruses,DNA virus,Baculoviridae,29057,Ostrinia,Crambidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
26,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Campaea perlata,Viruses,DNA virus,Baculoviridae,82598,Campaea,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
27,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Nemoria mimosaria,Viruses,DNA virus,Baculoviridae,214270,Nemoria,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
28,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Orthonama obstipata,Viruses,DNA virus,Baculoviridae,214290,Orthonama,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Horisme intestinata,Viruses,DNA virus,Baculoviridae,687098,Horisme,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
30,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Hyles gallii,Viruses,DNA virus,Baculoviridae,283843,Hyles,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
31,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Estigmene acrea,Viruses,DNA virus,Baculoviridae,56594,Estigmene,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
32,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Spilosoma congrua,Viruses,DNA virus,Baculoviridae,214367,Spilosoma,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
33,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Spilosoma virginica,Viruses,DNA virus,Baculoviridae,214366,Spilosoma,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
34,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Spilosoma virginica,Viruses,DNA virus,Baculoviridae,214366,Spilosoma,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
35,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Dasychira pinicola,Viruses,DNA virus,Baculoviridae,1496463,Dasychira,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
36,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Orgyia leucostigma,Viruses,DNA virus,Baculoviridae,95259,Orgyia,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
37,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Orgyia pseudotsugata,Viruses,DNA virus,Baculoviridae,33414,Orgyia,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
38,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Zanclognatha pedipilalis,Viruses,DNA virus,Baculoviridae,689289,Zanclognatha,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
39,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Autographa precationis,Viruses,DNA virus,Baculoviridae,319802,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
40,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Autographa flagellum,Viruses,DNA virus,Baculoviridae,689065,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
41,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Anagrapha falcifera,Viruses,DNA virus,Baculoviridae,56368,Anagrapha,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
42,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Acronicta impleta,Viruses,DNA virus,Baculoviridae,688469,Acronicta,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
43,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Oligia illocata,Viruses,DNA virus,Baculoviridae,989791,Oligia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
44,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Phlogophora iris,Viruses,DNA virus,Baculoviridae,689102,Phlogophora,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
45,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Hyppa xylinoides,Viruses,DNA virus,Baculoviridae,214176,Hyppa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
46,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Platyperigea multifera,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Eupsilia tristigmata,Viruses,DNA virus,Baculoviridae,689083,Eupsilia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
48,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Polia latex,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Melanchra pulverulenta,Viruses,DNA virus,Baculoviridae,685374,Melanchra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
50,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Lacanobia radix,Viruses,DNA virus,Baculoviridae,685370,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
51,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Lacanobia grandis,Viruses,DNA virus,Baculoviridae,721908,Spiramater,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
52,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Mythimna unipuncta,Viruses,DNA virus,Baculoviridae,103831,Mythimna,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
53,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Leucania multilinea,Viruses,DNA virus,Baculoviridae,688383,Leucania,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
54,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Orthosia revicta,Viruses,DNA virus,Baculoviridae,214293,Orthosia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
55,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Crocigrapha normani,Viruses,DNA virus,Baculoviridae,214105,Crocigrapha,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
56,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Homorthodes furfurata,Viruses,DNA virus,Baculoviridae,989047,Homorthodes,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
57,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Agrotis ipsilon,Viruses,DNA virus,Baculoviridae,56364,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
58,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Peridroma saucia,Viruses,DNA virus,Baculoviridae,244290,Peridroma,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
59,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Diarsia rubifera,Viruses,DNA virus,Baculoviridae,691569,Diarsia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
60,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Diarsia jucunda,Viruses,DNA virus,Baculoviridae,688372,Diarsia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
61,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Xestia adela,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Xestia smithii,Viruses,DNA virus,Baculoviridae,690917,Xestia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
63,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Metalepsis salicarum,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Anaplectoides pressus,Viruses,DNA virus,Baculoviridae,691554,Anaplectoides,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
65,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Eueretagrotis attenta,Viruses,DNA virus,Baculoviridae,691541,Eueretagrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
66,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Cryptocala acadiensis,Viruses,DNA virus,Baculoviridae,688404,Cryptocala,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
67,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Larva,Pyrrhia exprimens,Viruses,DNA virus,Baculoviridae,38058,Pyrrhia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
68,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Adult,Cyrtophleba coquilletti,Viruses,DNA virus,Baculoviridae,2176041,Cyrtophleba,Tachinidae,Diptera,Insecta,NA,NA,NA,NA,NA,NA
69,Lymantria dispar NPV  (LdMNPV),1/25/2096,2/12/2099,5 pibs/insect,Adult,Megachile rotundata,Viruses,DNA virus,Baculoviridae,143995,Megachile,Megachilidae,Hymenoptera,Insecta,NA,NA,NA,NA,NA,NA
70,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Boloria uphrosyne,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Clossiana selene,Viruses,DNA virus,Baculoviridae,191398,Boloria,Nymphalidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
72,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Pararge aegeria,Viruses,DNA virus,Baculoviridae,116150,Pararge,Nymphalidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
73,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Polyommatus icarus,Viruses,DNA virus,Baculoviridae,265386,Polyommatus,Lycaenidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
74,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Pieris brassicae,Viruses,DNA virus,Baculoviridae,7116,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
75,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Malacosoma neustria,Viruses,DNA virus,Baculoviridae,7098,Malacosoma,Lasiocampidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
76,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Philudoria potatoria,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Saturnia pavonia,Viruses,DNA virus,Baculoviridae,332931,Saturnia,Saturniidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
78,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Cyclophora linearia,Viruses,DNA virus,Baculoviridae,934830,Cyclophora,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
79,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Idaea aversata,Viruses,DNA virus,Baculoviridae,104447,Idaea,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
80,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Orthonama obstipata,Viruses,DNA virus,Baculoviridae,214290,Orthonama,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
81,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Dysstroma truncata,Viruses,DNA virus,Baculoviridae,685363,Dysstroma,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
82,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Opisthograptis luteolata,Viruses,DNA virus,Baculoviridae,934882,Opisthograptis,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
83,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Menophra abruptaria,Viruses,DNA virus,Baculoviridae,1660658,Menophra,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
84,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Acherontia atropos,Viruses,DNA virus,Baculoviridae,657993,Acherontia,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
85,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Mimas tiliae,Viruses,DNA virus,Baculoviridae,522848,Mimas,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
86,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Smerinthus ocellata,Viruses,DNA virus,Baculoviridae,469260,Smerinthus,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
87,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Hyles euphorbiae,Viruses,DNA virus,Baculoviridae,283855,Hyles,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
88,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Deilephila elpenor,Viruses,DNA virus,Baculoviridae,283834,Deilephila,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
89,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Deilephila elpenor,Viruses,DNA virus,Baculoviridae,283834,Deilephila,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
90,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Phalera bucephala,Viruses,DNA virus,Baculoviridae,753216,Phalera,Notodontidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
91,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Pheosia tremula,Viruses,DNA virus,Baculoviridae,988019,Pheosia,Notodontidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
92,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Drymonia ruficornis,Viruses,DNA virus,Baculoviridae,988178,Drymonia,Notodontidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
93,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Orgyia antiqua,Viruses,DNA virus,Baculoviridae,335469,Orgyia,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
94,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Calliteara pudibunda,Viruses,DNA virus,Baculoviridae,875926,Calliteara,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
95,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Spilosoma lubricipeda,Viruses,DNA virus,Baculoviridae,875880,Spilosoma,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
96,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Tyria jacobaeae,Viruses,DNA virus,Baculoviridae,179666,Tyria,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
97,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Anaplectoides prasina,Viruses,DNA virus,Baculoviridae,214030,Anaplectoides,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
98,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Hyppa rectilinea,Viruses,DNA virus,Baculoviridae,987961,Hyppa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
99,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Spodoptera littoralis,Viruses,DNA virus,Baculoviridae,7109,Spodoptera,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
100,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Pseudoips fagana britannica,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Autographa pulchrina,Viruses,DNA virus,Baculoviridae,987893,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
102,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Yponomeuta padella,Viruses,DNA virus,Baculoviridae,2567738,Yponomeuta,Yponomeutidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
103,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Udea olivalis,Viruses,DNA virus,Baculoviridae,1002971,Udea,Crambidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
104,Mamestra brassicae NPV (MbMNPV),1/25/2096,12/13/2000,6 pibs/larva,Larva,Antheraea pernyi,Viruses,DNA virus,Baculoviridae,7119,Antheraea,Saturniidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
105,Spodoptera exigua NPV  (SeMNPV),1/15/2096,2/12/2099,7 pibs/cm2,Larva,Agrotis segetum,Viruses,DNA virus,Baculoviridae,47767,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
106,Autographa californica NPV (AcMNPV),1/19/2096,12/13/2000,6.2 pibs/ml,Larva,Sabulodes transversata,Viruses,DNA virus,Baculoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Spodoptera exigua NPV  (SeMNPV),1/20/2096,2/12/2099,7 pibs/cm2,Larva,Xestia c-nigrum,Viruses,DNA virus,Baculoviridae,987431,Xestia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
108,Spodoptera exigua NPV  (SeMNPV),1/20/2096,2/12/2099,7 pibs/cm2,Larva,Mamestra brassicae,Viruses,DNA virus,Baculoviridae,55057,Mamestra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
109,Spodoptera exigua NPV  (SeMNPV),1/20/2096,2/12/2099,7 pibs/cm2,Larva,Lacanobia oleracea,Viruses,DNA virus,Baculoviridae,79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
110,Spodoptera exigua NPV  (SeMNPV),1/20/2096,2/12/2099,7 pibs/cm2,Larva,Spodoptera littoralis,Viruses,DNA virus,Baculoviridae,7109,Spodoptera,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
111,Spodoptera exigua NPV  (SeMNPV),1/20/2096,2/12/2099,7 pibs/cm2,Larva,Plutella xylostella,Viruses,DNA virus,Baculoviridae,51655,Plutella,Plutellidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
